name,location,latitude,longitude,round,slug,localeKey,sessions/fp1,sessions/fp2,sessions/fp3,sessions/qualifying,sessions/gp,sessions/sprintQualifying,sessions/sprint
Bahrain,Sakhir,26.037,50.5112,1,bahrain-grand-prix,bahrain-grand-prix,2023-03-03T11:30:00Z,2023-03-03T15:00:00Z,2023-03-04T11:30:00Z,2023-03-04T15:00:00Z,2023-03-05T15:00:00Z,,
Saudi Arabian,Jeddah,21.485811,39.192505,2,saudi-arabia-grand-prix,saudi-arabia-grand-prix,2023-03-17T13:30:00Z,2023-03-17T17:00:00Z,2023-03-18T13:30:00Z,2023-03-18T17:00:00Z,2023-03-19T17:00:00Z,,
Australian,Melbourne,-37.8373,144.9666,3,australian-grand-prix,australian-grand-prix,2023-03-31T01:30:00Z,2023-03-31T05:00:00Z,2023-04-01T01:30:00Z,2023-04-01T05:00:00Z,2023-04-02T05:00:00Z,,
Azerbaijan,Baku,40.3699,49.8433,5,azerbaijan-grand-prix,azerbaijan-grand-prix,2023-04-28T09:30:00Z,,,2023-04-28T13:00:00Z,2023-04-30T11:00:00Z,2023-04-29T08:30:00Z,2023-04-29T13:30:00Z
Miami,Miami,25.957764,-80.238835,6,miami-grand-prix,miami-grand-prix,2023-05-05T18:00:00Z,2023-05-05T21:30:00Z,2023-05-06T16:30:00Z,2023-05-06T20:00:00Z,2023-05-07T19:30:00Z,,
Monaco,Monte Carlo,43.7338,7.4215,8,monaco-grand-prix,monaco-grand-prix,2023-05-26T11:30:00Z,2023-05-26T15:00:00Z,2023-05-27T10:30:00Z,2023-05-27T14:00:00Z,2023-05-28T13:00:00Z,,
Spanish,Catalunya,41.5638,2.2585,9,spanish-grand-prix,spanish-grand-prix,2023-06-02T11:30:00Z,2023-06-02T15:00:00Z,2023-06-03T10:30:00Z,2023-06-03T14:00:00Z,2023-06-04T13:00:00Z,,
Canadian,Montreal,45.5034,-73.5267,10,canadian-grand-prix,canadian-grand-prix,2023-06-16T17:30:00Z,2023-06-16T21:00:00Z,2023-06-17T16:30:00Z,2023-06-17T20:00:00Z,2023-06-18T18:00:00Z,,
Austrian,Spielberg,47.2225,14.7607,11,austrian-grand-prix,austrian-grand-prix,2023-06-30T11:30:00Z,,,2023-06-30T15:00:00Z,2023-07-02T13:00:00Z,2023-07-01T10:00:00Z,2023-07-01T14:30:00Z
British,Silverstone,52.0706,-1.0174,12,british-grand-prix,british-grand-prix,2023-07-07T11:30:00Z,2023-07-07T15:00:00Z,2023-07-08T10:30:00Z,2023-07-08T14:00:00Z,2023-07-09T14:00:00Z,,
Hungarian,Budapest,47.583,19.2526,13,hungarian-grand-prix,hungarian-grand-prix,2023-07-21T11:30:00Z,2023-07-21T15:00:00Z,2023-07-22T10:30:00Z,2023-07-22T14:00:00Z,2023-07-23T13:00:00Z,,
Belgian,Spa-Francorchamps,50.444,5.9687,14,belgian-grand-prix,belgian-grand-prix,2023-07-28T11:30:00Z,,,2023-07-28T15:00:00Z,2023-07-30T13:00:00Z,2023-07-29T10:00:00Z,2023-07-29T14:30:00Z
Dutch,Zandvoort,52.388408,4.547122,15,dutch-grand-prix,dutch-grand-prix,2023-08-25T10:30:00Z,2023-08-25T14:00:00Z,2023-08-26T09:30:00Z,2023-08-26T13:00:00Z,2023-08-27T13:00:00Z,,
Italian,Monza,45.6169,9.2825,16,italian-grand-prix,italian-grand-prix,2023-09-01T11:30:00Z,2023-09-01T15:00:00Z,2023-09-02T10:30:00Z,2023-09-02T14:00:00Z,2023-09-03T13:00:00Z,,
Singapore,Singapore,1.2857,103.8575,17,singapore-grand-prix,singapore-grand-prix,2023-09-15T09:30:00Z,2023-09-15T13:00:00Z,2023-09-16T09:30:00Z,2023-09-16T13:00:00Z,2023-09-17T12:00:00Z,,
Japanese,Suzuka,35.3689,138.9256,18,japanese-grand-prix,japanese-grand-prix,2023-09-22T02:30:00Z,2023-09-22T06:00:00Z,2023-09-23T02:30:00Z,2023-09-23T06:00:00Z,2023-09-24T05:00:00Z,,
Qatar,Doha,25.490292,51.45303,19,qatar-grand-prix,qatar-grand-prix,2023-10-06T13:30:00Z,,,2023-10-06T17:00:00Z,2023-10-08T17:00:00Z,2023-10-07T13:00:00Z,2023-10-07T17:30:00Z
United States,Austin,30.1328,-97.6411,20,us-grand-prix,us-grand-prix,2023-10-20T17:30:00Z,,,2023-10-20T21:00:00Z,2023-10-22T19:00:00Z,2023-10-21T17:30:00Z,2023-10-21T22:00:00Z
Mexican,Mexico City,19.4028,-99.0986,21,mexican-grand-prix,mexico-grand-prix,2023-10-27T18:30:00Z,2023-10-27T22:00:00Z,2023-10-28T17:30:00Z,2023-10-28T21:00:00Z,2023-10-29T20:00:00Z,,
Brazilian,Sao Paulo,-23.7014,-46.6969,22,brazilian-grand-prix,brazilian-grand-prix,2023-11-03T14:30:00Z,,,2023-11-03T18:00:00Z,2023-11-05T17:00:00Z,2023-11-04T14:00:00Z,2023-11-04T18:30:00Z
Las Vegas,Las Vegas,36.166747,-115.148708,23,las-vegas-grand-prix,las-vegas-grand-prix,2023-11-17T04:30:00Z,2023-11-17T08:00:00Z,2023-11-18T04:30:00Z,2023-11-18T08:00:00Z,2023-11-19T06:00:00Z,,
Abu Dhabi,Yas Marina,24.4821,54.3482,24,abu-dhabi-grand-prix,abu-dhabi-grand-prix,2023-11-24T09:30:00Z,2023-11-24T13:00:00Z,2023-11-25T10:30:00Z,2023-11-25T14:00:00Z,2023-11-26T13:00:00Z,,
